Seq,type,time,
1,sent,1491540513.84,
1,Rec,1491540515.85,
2,sent,1491540515.85,
2,Rec,1491540517.85,
3,sent,1491540517.85,
3,Rec,1491540519.85,
4,sent,1491540519.85,
4,Rec,1491540521.85,
5,sent,1491540521.86,
5,Rec,1491540523.86,
6,sent,1491540523.86,
6,Rec,1491540525.86,
7,sent,1491540525.86,
7,Rec,1491540527.87,
8,sent,1491540527.87,
8,Rec,1491540529.87,
9,sent,1491540529.88,
9,Rec,1491540531.89,
10,sent,1491540531.89,
11,sent,1491540533.9,
11,Rec,1491540535.9,
12,sent,1491540535.9,
12,Rec,1491540537.9,
13,sent,1491540537.9,
10,Rec,1491540538.9,
14,sent,1491540539.9,
13,Rec,1491540539.9,
14,Rec,1491540541.91,
15,sent,1491540541.91,
15,Rec,1491540543.91,
16,sent,1491540543.92,
16,Rec,1491540545.92,
17,sent,1491540545.92,
17,Rec,1491540547.92,
18,sent,1491540547.92,
18,Rec,1491540549.92,
19,sent,1491540549.92,
19,Rec,1491540551.93,
20,sent,1491540551.93,
21,sent,1491540553.93,
21,Rec,1491540555.93,
22,sent,1491540555.93,
22,Rec,1491540557.93,
23,sent,1491540557.93,
20,Rec,1491540558.94,
23,Rec,1491540559.94,
24,sent,1491540559.94,
24,Rec,1491540561.94,
25,sent,1491540561.94,
25,Rec,1491540563.94,
26,sent,1491540563.94,
26,Rec,1491540565.94,
27,sent,1491540565.94,
27,Rec,1491540567.94,
28,sent,1491540567.94,
28,Rec,1491540569.95,
29,sent,1491540569.95,
29,Rec,1491540571.95,
30,sent,1491540571.95,
31,sent,1491540573.95,
31,Rec,1491540575.96,
32,sent,1491540575.96,
32,Rec,1491540577.96,
33,sent,1491540577.96,
30,Rec,1491540578.96,
33,Rec,1491540579.96,
34,sent,1491540579.96,
34,Rec,1491540581.97,
35,sent,1491540581.97,
35,Rec,1491540583.97,
36,sent,1491540583.97,
36,Rec,1491540585.98,
37,sent,1491540585.98,
37,Rec,1491540587.98,
38,sent,1491540587.98,
38,Rec,1491540589.99,
39,sent,1491540589.99,
39,Rec,1491540591.99,
40,sent,1491540591.99,
41,sent,1491540594.0,
41,Rec,1491540596.0,
42,sent,1491540596.0,
42,Rec,1491540598.01,
43,sent,1491540598.01,
40,Rec,1491540599.0,
43,Rec,1491540600.01,
44,sent,1491540600.01,
44,Rec,1491540602.02,
45,sent,1491540602.02,
45,Rec,1491540604.02,
46,sent,1491540604.02,
46,Rec,1491540606.02,
47,sent,1491540606.02,
47,Rec,1491540608.02,
48,sent,1491540608.02,
48,Rec,1491540610.02,
49,sent,1491540610.03,
49,Rec,1491540612.03,
