Seq,type,time
1,sent,1491541925.69
1,Rec,1491541926.69
2,sent,1491541926.69
2,Rec,1491541927.69
3,sent,1491541927.7
3,Rec,1491541928.7
4,sent,1491541928.7
4,Rec,1491541929.7
5,sent,1491541929.7
5,Rec,1491541930.7
6,sent,1491541930.7
6,Rec,1491541931.7
7,sent,1491541931.7
7,Rec,1491541932.71
8,sent,1491541932.71
8,Rec,1491541933.71
9,sent,1491541933.71
9,Rec,1491541934.71
10,sent,1491541934.71
11,sent,1491541935.72
11,Rec,1491541936.72
12,sent,1491541936.72
12,Rec,1491541937.72
13,sent,1491541937.72
10,Rec,1491541938.72
13,Rec,1491541938.73
14,sent,1491541938.73
14,Rec,1491541939.73
15,sent,1491541939.73
15,Rec,1491541940.73
16,sent,1491541940.73
16,Rec,1491541941.74
17,sent,1491541941.74
17,Rec,1491541942.74
18,sent,1491541942.74
19,sent,1491541943.74
18,Rec,1491541943.74
19,Rec,1491541944.75
20,sent,1491541944.75
21,sent,1491541945.76
21,Rec,1491541946.76
22,sent,1491541946.76
22,Rec,1491541947.77
23,sent,1491541947.77
20,Rec,1491541948.76
23,Rec,1491541948.77
24,sent,1491541948.77
25,sent,1491541949.78
24,Rec,1491541949.78
25,Rec,1491541950.78
26,sent,1491541950.78
26,Rec,1491541951.79
27,sent,1491541951.79
27,Rec,1491541952.8
28,sent,1491541952.8
28,Rec,1491541953.8
29,sent,1491541953.8
29,Rec,1491541954.81
30,sent,1491541954.81
31,sent,1491541955.81
31,Rec,1491541956.81
32,sent,1491541956.81
32,Rec,1491541957.82
33,sent,1491541957.82
30,Rec,1491541958.81
33,Rec,1491541958.82
34,sent,1491541958.82
34,Rec,1491541959.82
35,sent,1491541959.82
35,Rec,1491541960.82
36,sent,1491541960.82
36,Rec,1491541961.83
37,sent,1491541961.83
37,Rec,1491541962.83
38,sent,1491541962.83
39,sent,1491541963.84
38,Rec,1491541963.84
39,Rec,1491541964.84
40,sent,1491541964.84
41,sent,1491541965.85
41,Rec,1491541966.85
42,sent,1491541966.85
42,Rec,1491541967.86
43,sent,1491541967.86
40,Rec,1491541968.85
43,Rec,1491541968.86
44,sent,1491541968.86
44,Rec,1491541969.87
45,sent,1491541969.87
45,Rec,1491541970.87
46,sent,1491541970.87
46,Rec,1491541971.88
47,sent,1491541971.88
47,Rec,1491541972.88
48,sent,1491541972.88
49,sent,1491541973.89
48,Rec,1491541973.89
49,Rec,1491541974.89
